X,Y,Band1,Band2,Band3,Band4,Class
90.4061810178271,23.70471437785301,165,179,51,120,Water
90.49260714596149,23.795461561689567,124,87,134,186,Agriculture
90.4597990912717,23.747153397161448,162,87,85,164,Urban
90.43979877262956,23.776285603674705,153,115,169,60,Agriculture
90.37340279606636,23.836134971088914,133,78,74,190,Urban
90.37339917805042,23.73739383437233,161,99,120,151,Water
90.35871254182523,23.761557438455345,148,44,129,172,Water
90.47992642186624,23.81333267078146,142,83,47,212,Water
90.44016725176148,23.73431972482374,195,130,132,115,Water
90.45621088666941,23.711546986474318,177,37,129,176,Water
90.35308767414436,23.743462717937064,159,82,154,193,Urban
90.4954864778243,23.724183193088102,131,89,144,117,Urban
90.47486639612006,23.839454647851387,103,137,174,103,Water
90.38185086660174,23.821218056934665,117,34,97,219,Agriculture
90.37727374508106,23.795010563476563,82,132,153,120,Forest
90.37751067647801,23.83071908852816,191,35,114,106,Water
90.39563633644393,23.82055081153487,70,138,159,208,Agriculture
90.42871346474483,23.727985508832905,97,145,60,139,Forest
90.41479175279632,23.833883849773496,197,123,177,177,Water
90.3936843710297,23.780901336287346,177,76,140,206,Water
90.44177793420836,23.82111602327461,185,128,138,79,Urban
90.3709240790978,23.834413694988527,184,84,75,205,Forest
90.39382169728027,23.74770052124578,194,81,135,106,Forest
90.40495427649405,23.716507788679152,177,173,76,108,Agriculture
90.41841049763255,23.73419027438129,82,42,51,73,Urban
90.46777639420895,23.76406616829394,164,143,152,202,Urban
90.37995106732374,23.822702214888373,168,153,52,218,Urban
90.42713516576204,23.829109587488453,71,135,62,60,Urban
90.4388621853293,23.701042819579676,87,176,138,176,Forest
90.356967561908,23.776612095386636,158,174,144,113,Forest
90.44113172778522,23.762611650472316,100,149,69,177,Water
90.37557861855309,23.73331617157061,57,92,56,62,Water
90.35975773894779,23.71797980510005,76,48,152,203,Urban
90.492332830588,23.750642275710543,76,121,101,71,Urban
90.49484480496119,23.84143645558688,70,87,123,133,Urban
90.47125960221747,23.748480439803114,79,119,151,75,Water
90.395692065376,23.777818593261504,146,146,125,161,Agriculture
90.36465081710095,23.805452843834278,77,91,180,211,Agriculture
90.45263495397683,23.754544440356895,160,52,58,215,Water
90.41602287406094,23.845767312408146,110,156,139,176,Water
90.36830573522671,23.844367094241317,97,166,179,67,Water
90.42427653651669,23.737767344373804,196,169,186,181,Water
90.35515827816728,23.774587275883857,53,158,115,151,Water
90.48639806031181,23.745131746472516,84,87,48,149,Water
90.38881699724,23.74272607415662,98,151,67,195,Urban
90.44937834265309,23.70553304210318,66,30,167,119,Urban
90.3967566614134,23.791434650096985,95,63,91,87,Urban
90.42801020317667,23.77540185348433,166,125,122,160,Urban
90.43200654190149,23.7077218126875,55,155,150,100,Water
90.37772816832883,23.74179696963549,148,147,183,214,Agriculture
90.49543769416468,23.836239882895,173,77,156,204,Forest
90.46626992350417,23.735934283600045,86,118,108,216,Water
90.49092484123463,23.721734230813684,73,146,138,200,Forest
90.48422410256414,23.773417914041634,142,158,179,105,Agriculture
90.43968499682165,23.847847568116592,95,45,64,94,Urban
90.48828113525347,23.736308290726726,144,98,162,193,Agriculture
90.36327387530778,23.80082033211088,148,51,92,141,Water
90.37939742936287,23.81424294229931,165,122,183,174,Urban
90.35678409333657,23.73564563159886,116,105,96,106,Water
90.39879954961448,23.80923245229178,177,173,78,212,Urban
90.40830159345342,23.75516746990789,67,115,148,69,Forest
90.39070235476608,23.794845874589036,74,58,81,115,Forest
90.47431062637278,23.795029456614134,103,98,181,89,Forest
90.40351299900404,23.780366202611216,107,76,161,168,Agriculture
90.3921401764531,23.71354346550816,116,123,172,64,Water
90.43140441247374,23.82529537433839,153,173,114,178,Agriculture
90.37113863374621,23.748117009745762,73,114,185,92,Forest
90.47032954711311,23.727977776559978,163,68,115,177,Water
90.36118259655196,23.706116271233213,81,129,48,124,Forest
90.49803304049007,23.78863394147824,135,62,113,205,Agriculture
90.4658367153945,23.80163465427634,176,130,184,70,Agriculture
90.37980735223012,23.702488174339177,179,52,46,144,Agriculture
90.35082831756853,23.776813958744892,66,39,180,85,Forest
90.47231921426823,23.73397436627969,153,98,176,122,Water
90.45602860157715,23.79677591856142,186,129,66,145,Water
90.45935107520614,23.726154964350748,92,63,161,118,Forest
90.4656905520029,23.80364066071537,88,167,44,86,Water
90.3611066977601,23.75801030194508,75,176,68,157,Forest
90.40376985928164,23.84050949831051,148,125,122,164,Water
90.36738035892877,23.720628141621898,99,30,175,158,Urban
90.47946551388134,23.751159952657538,62,98,148,188,Urban
90.44349471902413,23.71702102818609,109,33,104,208,Agriculture
90.3996347037279,23.838704042741785,184,45,125,114,Urban
90.3595337525429,23.83160090300715,106,53,184,65,Urban
90.39664734825735,23.738691244157273,85,109,110,154,Urban
90.39877749830401,23.79899760690513,69,31,84,192,Forest
90.4594409267507,23.822583330030184,114,157,171,161,Urban
90.44563362070328,23.78328012173992,57,113,75,62,Urban
90.48308191138645,23.779447586753403,193,169,109,82,Agriculture
90.4208322387743,23.73627784363507,191,153,58,112,Urban
90.36793913689074,23.713965415170886,164,62,147,142,Urban
90.45698671808344,23.834582363693,192,130,130,204,Water
90.46411775729253,23.8350627085745,141,41,129,144,Agriculture
90.43419157963542,23.794965218590992,147,96,58,137,Agriculture
90.46564507699318,23.750854468657305,115,94,78,169,Agriculture
90.42406933945466,23.7523814361919,81,103,165,60,Agriculture
90.42840992440729,23.808893351830537,135,72,180,110,Agriculture
90.41413115275378,23.83456653899289,100,73,165,63,Agriculture
90.3538128690116,23.83306296363977,112,58,97,172,Forest
90.36618371404899,23.816981331878644,174,170,187,91,Urban
